frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.729,167.91,168.17,0.017,"(216, 313, 322, 530)"
1,0.763,167.91,168.17,0.017,"(216, 313, 322, 530)"
2,0.797,167.91,168.17,0.017,"(216, 313, 322, 530)"
3,0.847,167.91,168.17,0.017,"(216, 313, 322, 530)"
4,0.876,167.91,168.17,0.017,"(216, 313, 322, 530)"
5,0.926,168.06,168.33,0.017,"(216, 313, 322, 530)"
6,0.971,80.13,80.23,0.022,"(216, 313, 322, 530)"
7,1.004,80.24,80.35,0.022,"(216, 313, 322, 530)"
8,1.054,80.20,80.31,0.021,"(216, 313, 322, 530)"
9,1.084,75.31,75.42,0.022,"(216, 313, 322, 530)"
10,1.132,70.42,70.52,0.026,"(216, 313, 322, 530)"
11,1.183,70.31,70.41,0.026,"(216, 313, 322, 530)"
12,1.213,70.41,70.51,0.025,"(216, 313, 322, 530)"
13,1.259,70.43,70.53,0.023,"(216, 313, 322, 530)"
14,1.291,70.36,70.46,0.026,"(216, 313, 322, 530)"
15,1.339,70.43,70.54,0.024,"(216, 313, 322, 530)"
16,1.389,70.30,70.40,0.024,"(216, 313, 322, 530)"
17,1.419,70.32,70.42,0.025,"(216, 313, 322, 530)"
18,1.469,70.33,70.41,0.022,"(216, 313, 322, 530)"
19,1.517,70.43,70.51,0.024,"(216, 313, 322, 530)"
20,1.547,70.41,70.50,0.023,"(216, 313, 322, 530)"
21,1.597,70.46,70.53,0.026,"(216, 313, 322, 530)"
22,1.629,70.41,70.50,0.024,"(216, 313, 322, 530)"
23,1.676,70.34,70.43,0.024,"(216, 313, 322, 530)"
24,1.723,70.45,70.53,0.024,"(216, 313, 322, 530)"
25,1.755,70.46,70.54,0.024,"(216, 313, 322, 530)"
26,1.807,70.49,70.57,0.022,"(216, 313, 322, 530)"
27,1.837,70.52,70.60,0.022,"(216, 313, 322, 530)"
28,1.884,70.49,70.55,0.018,"(216, 313, 322, 530)"
29,1.932,70.62,70.70,0.021,"(216, 313, 322, 530)"
30,1.963,70.54,70.61,0.021,"(216, 313, 322, 530)"
31,2.015,70.63,70.69,0.021,"(216, 313, 322, 530)"
32,2.044,70.66,70.72,0.021,"(216, 313, 322, 530)"
33,2.095,70.58,70.63,0.021,"(216, 313, 322, 530)"
34,2.142,70.64,70.70,0.024,"(216, 313, 322, 530)"
35,2.171,70.57,70.64,0.022,"(216, 313, 322, 530)"
36,2.220,70.59,70.65,0.023,"(216, 313, 322, 530)"
37,2.252,70.57,70.62,0.023,"(216, 313, 322, 530)"
38,2.301,70.63,70.67,0.023,"(216, 313, 322, 530)"
39,2.348,70.56,70.60,0.021,"(216, 313, 322, 530)"
40,2.380,70.55,70.60,0.021,"(216, 313, 322, 530)"
41,2.428,70.57,70.63,0.019,"(216, 313, 322, 530)"
42,2.460,70.56,70.62,0.020,"(216, 313, 322, 530)"
43,2.508,70.57,70.62,0.019,"(216, 313, 322, 530)"
44,2.556,70.50,70.55,0.018,"(216, 313, 322, 530)"
45,2.587,70.44,70.48,0.020,"(216, 313, 322, 530)"
46,2.635,70.48,70.52,0.019,"(216, 313, 322, 530)"
47,2.667,70.44,70.48,0.020,"(216, 313, 322, 530)"
48,2.717,70.54,70.60,0.022,"(216, 313, 322, 530)"
49,2.763,70.53,70.58,0.021,"(216, 313, 322, 530)"
50,2.795,70.44,70.49,0.020,"(216, 313, 322, 530)"
51,2.846,70.57,70.63,0.022,"(216, 313, 322, 530)"
52,2.875,70.23,70.29,0.018,"(216, 313, 322, 530)"
53,2.927,70.45,70.44,0.020,"(216, 313, 322, 530)"
54,2.973,70.54,70.60,0.020,"(216, 313, 322, 530)"
55,3.004,70.67,70.74,0.020,"(216, 313, 322, 530)"
56,3.054,70.61,70.66,0.018,"(216, 313, 322, 530)"
57,3.084,70.59,70.64,0.020,"(216, 313, 322, 530)"
58,3.132,70.67,70.72,0.021,"(216, 313, 322, 530)"
59,3.182,70.78,70.92,0.019,"(216, 313, 322, 530)"
60,3.213,71.81,72.10,0.020,"(216, 313, 322, 530)"
61,3.260,71.66,71.98,0.022,"(216, 313, 322, 530)"
62,3.291,71.51,71.84,0.018,"(216, 313, 322, 530)"
63,3.341,71.02,71.27,0.018,"(216, 313, 322, 530)"
64,3.389,70.98,71.24,0.017,"(216, 313, 322, 530)"
65,3.420,70.95,71.19,0.027,"(216, 313, 322, 530)"
66,3.469,70.87,71.08,0.014,"(216, 313, 322, 530)"
67,3.515,70.86,71.01,0.017,"(216, 313, 322, 530)"
68,3.549,70.91,71.05,0.016,"(216, 313, 322, 530)"
69,3.597,70.81,70.96,0.018,"(216, 313, 322, 530)"
70,3.628,70.92,71.07,0.018,"(216, 313, 322, 530)"
71,3.679,70.86,71.06,0.016,"(216, 313, 322, 530)"
72,3.726,71.34,71.52,0.021,"(216, 313, 322, 530)"
73,3.755,71.27,71.44,0.020,"(216, 313, 322, 530)"
74,3.806,71.35,71.51,0.021,"(216, 313, 322, 530)"
75,3.837,71.26,71.43,0.018,"(216, 313, 322, 530)"
76,3.883,71.29,71.46,0.015,"(216, 313, 322, 530)"
77,3.933,71.06,71.26,0.015,"(216, 313, 322, 530)"
78,3.965,71.03,71.23,0.017,"(216, 313, 322, 530)"
79,4.013,71.12,71.33,0.019,"(216, 313, 322, 530)"
80,4.044,71.03,71.24,0.024,"(216, 313, 322, 530)"
81,4.093,71.29,71.47,0.021,"(216, 313, 322, 530)"
82,4.140,71.79,71.96,0.021,"(216, 313, 322, 530)"
83,4.172,71.79,71.93,0.020,"(216, 313, 322, 530)"
84,4.220,71.92,72.04,0.018,"(216, 313, 322, 530)"
85,4.251,71.84,71.99,0.017,"(216, 313, 322, 530)"
86,4.301,71.90,72.03,0.022,"(216, 313, 322, 530)"
87,4.349,71.93,72.08,0.020,"(216, 313, 322, 530)"
88,4.382,72.02,72.15,0.019,"(216, 313, 322, 530)"
89,4.428,72.06,72.18,0.019,"(216, 313, 322, 530)"
90,4.460,72.00,72.13,0.020,"(216, 313, 322, 530)"
91,4.511,72.01,72.13,0.019,"(216, 313, 322, 530)"
92,4.556,71.92,72.07,0.022,"(216, 313, 322, 530)"
93,4.586,71.84,71.98,0.017,"(216, 313, 322, 530)"
94,4.638,71.83,71.96,0.020,"(216, 313, 322, 530)"
95,4.669,71.29,71.48,0.022,"(216, 313, 322, 530)"
96,4.718,71.99,72.07,0.021,"(216, 313, 322, 530)"
97,4.763,72.55,72.64,0.020,"(216, 313, 322, 530)"
