frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.615,254.87,254.85,0.151,"(216, 313, 322, 530)"
1,0.648,254.87,254.85,0.151,"(216, 313, 322, 530)"
2,0.681,254.87,254.85,0.151,"(216, 313, 322, 530)"
3,0.715,254.87,254.85,0.151,"(216, 313, 322, 530)"
4,0.748,254.87,254.85,0.151,"(216, 313, 322, 530)"
5,0.782,254.87,254.85,0.151,"(216, 313, 322, 530)"
6,0.815,18.82,18.71,0.015,"(216, 313, 322, 530)"
7,0.848,18.90,18.78,0.018,"(216, 313, 322, 530)"
8,0.881,137.28,134.70,0.011,"(216, 313, 322, 530)"
9,0.915,142.19,139.47,0.021,"(216, 313, 322, 530)"
10,0.948,248.54,248.08,0.135,"(216, 313, 322, 530)"
11,0.981,248.56,248.10,0.368,"(216, 313, 322, 530)"
12,1.016,137.42,134.82,0.015,"(216, 313, 322, 530)"
13,1.049,137.42,134.82,0.020,"(216, 313, 322, 530)"
14,1.082,137.34,134.73,0.015,"(216, 313, 322, 530)"
15,1.115,63.93,62.54,0.030,"(216, 313, 322, 530)"
16,1.149,63.89,62.49,0.033,"(216, 313, 322, 530)"
17,1.181,63.81,62.43,0.030,"(216, 313, 322, 530)"
18,1.215,60.10,58.81,0.027,"(216, 313, 322, 530)"
19,1.248,60.08,58.78,0.036,"(216, 313, 322, 530)"
20,1.282,59.98,58.69,0.029,"(216, 313, 322, 530)"
21,1.315,60.11,58.82,0.030,"(216, 313, 322, 530)"
22,1.348,60.05,58.76,0.031,"(216, 313, 322, 530)"
23,1.381,60.02,58.72,0.028,"(216, 313, 322, 530)"
24,1.415,60.13,58.83,0.029,"(216, 313, 322, 530)"
25,1.449,60.07,58.76,0.034,"(216, 313, 322, 530)"
26,1.481,60.02,58.72,0.034,"(216, 313, 322, 530)"
27,1.515,60.16,58.86,0.023,"(216, 313, 322, 530)"
28,1.550,60.07,58.77,0.028,"(216, 313, 322, 530)"
29,1.582,60.03,58.73,0.033,"(216, 313, 322, 530)"
30,1.616,60.17,58.87,0.030,"(216, 313, 322, 530)"
31,1.649,60.10,58.79,0.037,"(216, 313, 322, 530)"
32,1.682,60.06,58.76,0.030,"(216, 313, 322, 530)"
33,1.716,60.20,58.90,0.027,"(216, 313, 322, 530)"
34,1.749,60.08,58.79,0.037,"(216, 313, 322, 530)"
35,1.783,60.07,58.77,0.028,"(216, 313, 322, 530)"
36,1.816,60.20,58.90,0.031,"(216, 313, 322, 530)"
37,1.850,60.11,58.80,0.030,"(216, 313, 322, 530)"
38,1.883,60.10,58.79,0.032,"(216, 313, 322, 530)"
39,1.916,60.23,58.93,0.029,"(216, 313, 322, 530)"
40,1.949,60.12,58.82,0.030,"(216, 313, 322, 530)"
41,1.982,60.09,58.79,0.027,"(216, 313, 322, 530)"
42,2.017,60.22,58.92,0.025,"(216, 313, 322, 530)"
43,2.050,60.11,58.81,0.029,"(216, 313, 322, 530)"
44,2.084,60.08,58.78,0.029,"(216, 313, 322, 530)"
45,2.117,60.23,58.92,0.026,"(216, 313, 322, 530)"
46,2.150,60.09,58.80,0.039,"(216, 313, 322, 530)"
47,2.183,60.08,58.78,0.032,"(216, 313, 322, 530)"
48,2.217,60.19,58.89,0.031,"(216, 313, 322, 530)"
49,2.250,60.07,58.77,0.027,"(216, 313, 322, 530)"
50,2.283,60.07,58.78,0.032,"(216, 313, 322, 530)"
51,2.317,60.20,58.90,0.023,"(216, 313, 322, 530)"
52,2.350,60.11,58.81,0.030,"(216, 313, 322, 530)"
53,2.383,60.12,58.83,0.023,"(216, 313, 322, 530)"
54,2.417,60.22,58.93,0.029,"(216, 313, 322, 530)"
55,2.450,60.12,58.83,0.025,"(216, 313, 322, 530)"
56,2.484,60.16,58.87,0.028,"(216, 313, 322, 530)"
