frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.738,100.21,98.08,0.030,"(217, 321, 320, 525)"
1,0.770,100.21,98.08,0.030,"(217, 321, 320, 525)"
2,0.802,100.21,98.08,0.030,"(217, 321, 320, 525)"
3,0.833,100.21,98.08,0.030,"(217, 321, 320, 525)"
4,0.864,100.21,98.08,0.030,"(217, 321, 320, 525)"
5,0.896,100.03,97.92,0.030,"(217, 321, 320, 525)"
6,0.931,52.38,51.29,0.035,"(217, 321, 320, 525)"
7,0.962,52.36,51.27,0.039,"(217, 321, 320, 525)"
8,0.995,52.41,51.32,0.044,"(217, 321, 320, 525)"
9,1.029,52.44,51.35,0.041,"(217, 321, 320, 525)"
10,1.063,51.02,49.98,0.036,"(217, 321, 320, 525)"
11,1.095,51.01,49.97,0.049,"(217, 321, 320, 525)"
12,1.128,49.05,48.07,0.042,"(217, 321, 320, 525)"
13,1.162,48.97,47.99,0.043,"(217, 321, 320, 525)"
14,1.195,48.98,47.99,0.048,"(217, 321, 320, 525)"
15,1.229,49.03,48.04,0.046,"(217, 321, 320, 525)"
16,1.262,48.94,47.96,0.047,"(217, 321, 320, 525)"
17,1.295,48.92,47.94,0.072,"(217, 321, 320, 525)"
18,1.329,49.00,48.01,0.038,"(217, 321, 320, 525)"
19,1.363,48.90,47.92,0.038,"(217, 321, 320, 525)"
20,1.395,48.96,47.97,0.044,"(217, 321, 320, 525)"
21,1.429,49.01,48.02,0.048,"(217, 321, 320, 525)"
22,1.462,48.95,47.97,0.036,"(217, 321, 320, 525)"
23,1.495,49.02,48.03,0.038,"(217, 321, 320, 525)"
24,1.529,49.07,48.08,0.028,"(217, 321, 320, 525)"
25,1.562,49.00,48.01,0.045,"(217, 321, 320, 525)"
26,1.595,49.07,48.08,0.044,"(217, 321, 320, 525)"
27,1.629,49.08,48.09,0.020,"(217, 321, 320, 525)"
28,1.663,49.00,48.01,0.023,"(217, 321, 320, 525)"
29,1.696,49.10,48.11,0.043,"(217, 321, 320, 525)"
30,1.729,49.15,48.16,0.046,"(217, 321, 320, 525)"
31,1.763,49.08,48.09,0.030,"(217, 321, 320, 525)"
32,1.796,49.18,48.19,0.040,"(217, 321, 320, 525)"
33,1.830,49.20,48.21,0.044,"(217, 321, 320, 525)"
34,1.863,49.12,48.14,0.036,"(217, 321, 320, 525)"
35,1.896,49.17,48.18,0.046,"(217, 321, 320, 525)"
36,1.929,49.12,48.13,0.051,"(217, 321, 320, 525)"
37,1.963,49.01,48.01,0.056,"(217, 321, 320, 525)"
38,1.996,48.97,47.98,0.059,"(217, 321, 320, 525)"
39,2.030,48.90,47.91,0.047,"(217, 321, 320, 525)"
40,2.063,48.74,47.75,0.056,"(217, 321, 320, 525)"
41,2.096,48.76,47.77,0.052,"(217, 321, 320, 525)"
42,2.130,48.70,47.70,0.030,"(217, 321, 320, 525)"
43,2.163,48.61,47.62,0.043,"(217, 321, 320, 525)"
44,2.197,48.67,47.67,0.045,"(217, 321, 320, 525)"
45,2.230,48.64,47.65,0.024,"(217, 321, 320, 525)"
46,2.264,48.59,47.60,0.042,"(217, 321, 320, 525)"
47,2.297,48.65,47.66,0.047,"(217, 321, 320, 525)"
48,2.330,48.58,47.59,0.055,"(217, 321, 320, 525)"
49,2.363,48.54,47.55,0.030,"(217, 321, 320, 525)"
50,2.396,48.61,47.62,0.043,"(217, 321, 320, 525)"
51,2.430,48.58,47.59,0.047,"(217, 321, 320, 525)"
52,2.463,48.53,47.52,0.036,"(217, 321, 320, 525)"
53,2.497,48.57,47.57,0.034,"(217, 321, 320, 525)"
54,2.530,48.55,47.55,0.054,"(217, 321, 320, 525)"
55,2.564,48.49,47.50,0.025,"(217, 321, 320, 525)"
56,2.597,48.57,47.58,0.038,"(217, 321, 320, 525)"
57,2.631,48.48,47.49,0.038,"(217, 321, 320, 525)"
58,2.663,48.46,47.47,0.039,"(217, 321, 320, 525)"
59,2.697,48.55,47.55,0.033,"(217, 321, 320, 525)"
60,2.731,48.50,47.50,0.047,"(217, 321, 320, 525)"
61,2.763,48.48,47.48,0.032,"(217, 321, 320, 525)"
62,2.797,48.54,47.55,0.037,"(217, 321, 320, 525)"
63,2.830,48.47,47.47,0.034,"(217, 321, 320, 525)"
64,2.864,48.42,47.43,0.045,"(217, 321, 320, 525)"
65,2.898,48.51,47.51,0.040,"(217, 321, 320, 525)"
66,2.931,48.41,47.42,0.050,"(217, 321, 320, 525)"
67,2.964,48.42,47.42,0.033,"(217, 321, 320, 525)"
68,2.997,48.48,47.48,0.034,"(217, 321, 320, 525)"
69,3.030,48.40,47.41,0.036,"(217, 321, 320, 525)"
70,3.064,48.39,47.40,0.040,"(217, 321, 320, 525)"
71,3.098,48.46,47.46,0.037,"(217, 321, 320, 525)"
72,3.131,48.40,47.41,0.041,"(217, 321, 320, 525)"
73,3.164,48.41,47.42,0.034,"(217, 321, 320, 525)"
74,3.198,48.48,47.48,0.039,"(217, 321, 320, 525)"
75,3.231,48.42,47.43,0.042,"(217, 321, 320, 525)"
76,3.264,48.51,47.53,0.043,"(217, 321, 320, 525)"
77,3.297,48.52,47.54,0.047,"(217, 321, 320, 525)"
78,3.331,48.47,47.49,0.042,"(217, 321, 320, 525)"
79,3.364,48.56,47.57,0.044,"(217, 321, 320, 525)"
80,3.398,48.69,47.68,0.038,"(217, 321, 320, 525)"
81,3.431,48.61,47.62,0.047,"(217, 321, 320, 525)"
82,3.465,48.63,47.64,0.036,"(217, 321, 320, 525)"
83,3.498,48.71,47.70,0.032,"(217, 321, 320, 525)"
84,3.532,48.64,47.64,0.041,"(217, 321, 320, 525)"
85,3.565,48.69,47.69,0.037,"(217, 321, 320, 525)"
86,3.598,48.74,47.74,0.039,"(217, 321, 320, 525)"
87,3.632,48.64,47.64,0.043,"(217, 321, 320, 525)"
88,3.665,48.68,47.67,0.042,"(217, 321, 320, 525)"
89,3.698,48.71,47.71,0.033,"(217, 321, 320, 525)"
90,3.732,48.60,47.60,0.048,"(217, 321, 320, 525)"
91,3.766,48.71,47.71,0.035,"(217, 321, 320, 525)"
92,3.798,48.73,47.74,0.045,"(217, 321, 320, 525)"
93,3.832,48.72,47.72,0.045,"(217, 321, 320, 525)"
94,3.866,48.73,47.74,0.024,"(217, 321, 320, 525)"
95,3.898,48.80,47.83,0.029,"(217, 321, 320, 525)"
96,3.932,48.73,47.77,0.027,"(217, 321, 320, 525)"
97,3.965,48.81,47.83,0.034,"(217, 321, 320, 525)"
98,3.999,48.97,47.95,0.028,"(217, 321, 320, 525)"
99,4.032,48.86,47.84,0.036,"(217, 321, 320, 525)"
100,4.066,48.91,47.90,0.041,"(217, 321, 320, 525)"
101,4.099,48.93,47.92,0.048,"(217, 321, 320, 525)"
102,4.132,48.86,47.86,0.050,"(217, 321, 320, 525)"
103,4.166,48.92,47.92,0.046,"(217, 321, 320, 525)"
104,4.199,48.91,47.89,0.040,"(217, 321, 320, 525)"
105,4.233,48.85,47.84,0.033,"(217, 321, 320, 525)"
106,4.266,49.01,48.00,0.024,"(217, 321, 320, 525)"
107,4.299,49.03,48.02,0.026,"(217, 321, 320, 525)"
108,4.333,49.02,48.01,0.013,"(217, 321, 320, 525)"
109,4.366,49.10,48.08,0.010,"(217, 321, 320, 525)"
110,4.399,49.09,48.07,0.017,"(217, 321, 320, 525)"
111,4.432,49.08,48.06,0.010,"(217, 321, 320, 525)"
112,4.466,49.17,48.14,0.006,"(217, 321, 320, 525)"
113,4.499,49.12,48.10,0.007,"(217, 321, 320, 525)"
114,4.533,49.10,48.07,0.008,"(217, 321, 320, 525)"
115,4.566,49.19,48.17,0.010,"(217, 321, 320, 525)"
116,4.599,49.16,48.14,0.013,"(217, 321, 320, 525)"
117,4.633,49.11,48.09,0.014,"(217, 321, 320, 525)"
118,4.666,49.21,48.19,0.007,"(217, 321, 320, 525)"
119,4.700,49.13,48.12,0.013,"(217, 321, 320, 525)"
120,4.733,49.12,48.11,0.004,"(217, 321, 320, 525)"
121,4.767,49.19,48.17,0.018,"(217, 321, 320, 525)"
122,4.799,49.13,48.12,0.007,"(217, 321, 320, 525)"
123,4.833,49.15,48.14,0.006,"(217, 321, 320, 525)"
124,4.867,49.25,48.24,0.010,"(217, 321, 320, 525)"
125,4.900,49.20,48.19,0.012,"(217, 321, 320, 525)"
126,4.933,49.19,48.18,0.011,"(217, 321, 320, 525)"
127,4.966,49.32,48.29,0.042,"(217, 321, 320, 525)"
128,5.000,49.26,48.24,0.036,"(217, 321, 320, 525)"
129,5.033,49.25,48.23,0.018,"(217, 321, 320, 525)"
130,5.066,49.31,48.28,0.013,"(217, 321, 320, 525)"
131,5.100,49.24,48.22,0.026,"(217, 321, 320, 525)"
132,5.133,49.23,48.20,0.020,"(217, 321, 320, 525)"
133,5.167,49.28,48.26,0.023,"(217, 321, 320, 525)"
134,5.200,49.23,48.21,0.019,"(217, 321, 320, 525)"
