frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.696,161.23,153.20,0.006,"(216, 313, 322, 530)"
1,0.728,161.23,153.20,0.006,"(216, 313, 322, 530)"
2,0.762,161.23,153.20,0.006,"(216, 313, 322, 530)"
3,0.796,161.23,153.20,0.006,"(216, 313, 322, 530)"
4,0.828,161.23,153.20,0.006,"(216, 313, 322, 530)"
5,0.861,161.23,153.20,0.009,"(216, 313, 322, 530)"
6,0.894,72.64,66.92,0.010,"(216, 313, 322, 530)"
7,0.928,72.67,66.97,0.011,"(216, 313, 322, 530)"
8,0.961,72.65,66.95,0.010,"(216, 313, 322, 530)"
9,0.995,72.53,66.81,0.015,"(216, 313, 322, 530)"
10,1.027,45.02,41.81,0.016,"(216, 313, 322, 530)"
11,1.061,44.91,41.71,0.016,"(216, 313, 322, 530)"
12,1.095,44.91,41.71,0.011,"(216, 313, 322, 530)"
13,1.128,42.74,39.78,0.013,"(216, 313, 322, 530)"
14,1.161,42.63,39.68,0.018,"(216, 313, 322, 530)"
15,1.195,42.63,39.67,0.013,"(216, 313, 322, 530)"
16,1.229,41.75,38.88,0.013,"(216, 313, 322, 530)"
17,1.262,41.65,38.79,0.013,"(216, 313, 322, 530)"
18,1.295,41.66,38.80,0.018,"(216, 313, 322, 530)"
19,1.328,41.74,38.88,0.020,"(216, 313, 322, 530)"
20,1.362,41.64,38.78,0.017,"(216, 313, 322, 530)"
21,1.395,41.69,38.84,0.017,"(216, 313, 322, 530)"
22,1.429,41.72,38.85,0.018,"(216, 313, 322, 530)"
23,1.462,41.64,38.79,0.022,"(216, 313, 322, 530)"
24,1.495,41.70,38.83,0.017,"(216, 313, 322, 530)"
25,1.529,41.74,38.87,0.018,"(216, 313, 322, 530)"
26,1.561,41.67,38.81,0.010,"(216, 313, 322, 530)"
27,1.595,41.74,38.87,0.016,"(216, 313, 322, 530)"
28,1.629,41.77,38.91,0.016,"(216, 313, 322, 530)"
29,1.662,41.71,38.85,0.019,"(216, 313, 322, 530)"
30,1.696,41.79,38.92,0.013,"(216, 313, 322, 530)"
31,1.729,41.80,38.93,0.016,"(216, 313, 322, 530)"
32,1.762,41.71,38.85,0.017,"(216, 313, 322, 530)"
33,1.795,41.81,38.94,0.013,"(216, 313, 322, 530)"
34,1.829,41.84,38.97,0.015,"(216, 313, 322, 530)"
35,1.862,41.79,38.92,0.012,"(216, 313, 322, 530)"
36,1.896,41.88,39.02,0.014,"(216, 313, 322, 530)"
37,1.929,41.89,39.03,0.018,"(216, 313, 322, 530)"
38,1.962,41.85,38.98,0.016,"(216, 313, 322, 530)"
39,1.996,41.92,39.05,0.020,"(216, 313, 322, 530)"
40,2.029,41.91,39.04,0.018,"(216, 313, 322, 530)"
41,2.063,41.85,38.99,0.022,"(216, 313, 322, 530)"
42,2.096,41.93,39.06,0.016,"(216, 313, 322, 530)"
43,2.130,41.91,39.04,0.017,"(216, 313, 322, 530)"
44,2.163,41.87,39.00,0.017,"(216, 313, 322, 530)"
45,2.196,41.93,39.06,0.032,"(216, 313, 322, 530)"
46,2.229,41.87,39.00,0.022,"(216, 313, 322, 530)"
47,2.262,41.83,38.96,0.023,"(216, 313, 322, 530)"
48,2.296,41.88,39.01,0.017,"(216, 313, 322, 530)"
49,2.329,41.84,38.97,0.024,"(216, 313, 322, 530)"
50,2.362,41.77,38.91,0.022,"(216, 313, 322, 530)"
51,2.396,41.84,38.98,0.015,"(216, 313, 322, 530)"
52,2.430,41.80,38.94,0.014,"(216, 313, 322, 530)"
53,2.463,41.74,38.88,0.017,"(216, 313, 322, 530)"
54,2.497,41.82,38.95,0.015,"(216, 313, 322, 530)"
55,2.530,41.75,38.90,0.015,"(216, 313, 322, 530)"
56,2.563,41.70,38.84,0.014,"(216, 313, 322, 530)"
57,2.596,41.77,38.91,0.014,"(216, 313, 322, 530)"
58,2.630,41.70,38.84,0.015,"(216, 313, 322, 530)"
59,2.664,41.69,38.84,0.020,"(216, 313, 322, 530)"
60,2.696,41.74,38.86,0.016,"(216, 313, 322, 530)"
61,2.730,41.66,38.80,0.019,"(216, 313, 322, 530)"
62,2.763,41.63,38.77,0.015,"(216, 313, 322, 530)"
63,2.797,41.71,38.85,0.021,"(216, 313, 322, 530)"
64,2.831,41.65,38.80,0.021,"(216, 313, 322, 530)"
65,2.863,41.64,38.78,0.016,"(216, 313, 322, 530)"
66,2.897,41.71,38.86,0.015,"(216, 313, 322, 530)"
67,2.930,41.61,38.77,0.017,"(216, 313, 322, 530)"
68,2.963,41.63,38.78,0.038,"(216, 313, 322, 530)"
69,2.997,41.67,38.81,0.015,"(216, 313, 322, 530)"
70,3.030,41.60,38.75,0.014,"(216, 313, 322, 530)"
71,3.065,41.61,38.76,0.012,"(216, 313, 322, 530)"
72,3.098,41.65,38.79,0.013,"(216, 313, 322, 530)"
73,3.130,41.56,38.71,0.019,"(216, 313, 322, 530)"
74,3.164,41.57,38.72,0.017,"(216, 313, 322, 530)"
75,3.197,41.62,38.77,0.018,"(216, 313, 322, 530)"
76,3.230,41.52,38.68,0.018,"(216, 313, 322, 530)"
77,3.264,41.57,38.72,0.021,"(216, 313, 322, 530)"
78,3.297,41.61,38.75,0.022,"(216, 313, 322, 530)"
79,3.331,41.52,38.68,0.018,"(216, 313, 322, 530)"
80,3.364,41.59,38.74,0.019,"(216, 313, 322, 530)"
81,3.397,41.61,38.76,0.018,"(216, 313, 322, 530)"
82,3.431,41.53,38.70,0.016,"(216, 313, 322, 530)"
83,3.464,41.59,38.74,0.015,"(216, 313, 322, 530)"
84,3.498,41.63,38.78,0.019,"(216, 313, 322, 530)"
85,3.532,41.52,38.68,0.018,"(216, 313, 322, 530)"
86,3.564,41.58,38.73,0.015,"(216, 313, 322, 530)"
87,3.598,41.60,38.76,0.018,"(216, 313, 322, 530)"
88,3.631,41.49,38.65,0.016,"(216, 313, 322, 530)"
89,3.665,41.58,38.74,0.030,"(216, 313, 322, 530)"
90,3.697,41.57,38.73,0.032,"(216, 313, 322, 530)"
91,3.731,41.50,38.66,0.018,"(216, 313, 322, 530)"
92,3.765,41.57,38.72,0.020,"(216, 313, 322, 530)"
93,3.798,41.57,38.72,0.011,"(216, 313, 322, 530)"
94,3.831,41.52,38.66,0.020,"(216, 313, 322, 530)"
95,3.864,41.58,38.73,0.020,"(216, 313, 322, 530)"
96,3.898,41.56,38.71,0.017,"(216, 313, 322, 530)"
97,3.931,41.50,38.65,0.016,"(216, 313, 322, 530)"
98,3.965,41.57,38.71,0.020,"(216, 313, 322, 530)"
99,3.998,41.55,38.69,0.021,"(216, 313, 322, 530)"
100,4.031,41.48,38.63,0.013,"(216, 313, 322, 530)"
101,4.065,41.58,38.73,0.014,"(216, 313, 322, 530)"
102,4.099,41.55,38.71,0.022,"(216, 313, 322, 530)"
103,4.131,41.50,38.65,0.017,"(216, 313, 322, 530)"
104,4.165,41.57,38.72,0.019,"(216, 313, 322, 530)"
105,4.199,41.55,38.69,0.014,"(216, 313, 322, 530)"
106,4.231,41.50,38.65,0.017,"(216, 313, 322, 530)"
107,4.265,41.57,38.73,0.016,"(216, 313, 322, 530)"
108,4.298,41.52,38.70,0.020,"(216, 313, 322, 530)"
109,4.332,41.47,38.65,0.020,"(216, 313, 322, 530)"
110,4.366,41.59,38.76,0.019,"(216, 313, 322, 530)"
111,4.399,41.50,38.69,0.017,"(216, 313, 322, 530)"
112,4.432,41.49,38.66,0.014,"(216, 313, 322, 530)"
113,4.465,41.57,38.74,0.019,"(216, 313, 322, 530)"
114,4.499,41.51,38.68,0.018,"(216, 313, 322, 530)"
115,4.532,41.48,38.66,0.019,"(216, 313, 322, 530)"
116,4.566,41.57,38.74,0.017,"(216, 313, 322, 530)"
117,4.599,41.50,38.66,0.015,"(216, 313, 322, 530)"
118,4.632,41.50,38.66,0.026,"(216, 313, 322, 530)"
119,4.666,41.57,38.73,0.016,"(216, 313, 322, 530)"
120,4.699,41.49,38.67,0.016,"(216, 313, 322, 530)"
121,4.732,41.50,38.67,0.014,"(216, 313, 322, 530)"
122,4.766,41.58,38.75,0.015,"(216, 313, 322, 530)"
123,4.799,41.50,38.67,0.015,"(216, 313, 322, 530)"
124,4.832,41.54,38.69,0.022,"(216, 313, 322, 530)"
125,4.866,41.61,38.75,0.013,"(216, 313, 322, 530)"
126,4.899,41.52,38.67,0.015,"(216, 313, 322, 530)"
127,4.932,41.54,38.69,0.015,"(216, 313, 322, 530)"
128,4.966,41.60,38.75,0.013,"(216, 313, 322, 530)"
129,4.999,41.52,38.68,0.027,"(216, 313, 322, 530)"
130,5.033,41.54,38.69,0.023,"(216, 313, 322, 530)"
131,5.066,41.59,38.74,0.015,"(216, 313, 322, 530)"
132,5.099,41.51,38.65,0.016,"(216, 313, 322, 530)"
133,5.132,41.54,38.69,0.020,"(216, 313, 322, 530)"
134,5.166,41.58,38.72,0.019,"(216, 313, 322, 530)"
135,5.200,41.50,38.65,0.015,"(216, 313, 322, 530)"
136,5.233,41.53,38.67,0.016,"(216, 313, 322, 530)"
137,5.266,41.58,38.72,0.019,"(216, 313, 322, 530)"
138,5.299,41.48,38.63,0.012,"(216, 313, 322, 530)"
139,5.333,41.56,38.70,0.011,"(216, 313, 322, 530)"
140,5.367,41.56,38.71,0.012,"(216, 313, 322, 530)"
141,5.400,41.47,38.63,0.018,"(216, 313, 322, 530)"
142,5.433,41.54,38.68,0.020,"(216, 313, 322, 530)"
143,5.467,41.56,38.70,0.014,"(216, 313, 322, 530)"
144,5.500,41.49,38.65,0.013,"(216, 313, 322, 530)"
145,5.534,41.56,38.72,0.020,"(216, 313, 322, 530)"
146,5.566,41.56,38.71,0.016,"(216, 313, 322, 530)"
147,5.600,41.50,38.64,0.018,"(216, 313, 322, 530)"
148,5.634,41.58,38.73,0.015,"(216, 313, 322, 530)"
149,5.667,41.55,38.71,0.020,"(216, 313, 322, 530)"
150,5.700,41.51,38.66,0.016,"(216, 313, 322, 530)"
151,5.733,41.60,38.73,0.013,"(216, 313, 322, 530)"
152,5.767,41.59,38.73,0.018,"(216, 313, 322, 530)"
153,5.801,41.52,38.67,0.014,"(216, 313, 322, 530)"
154,5.834,41.58,38.73,0.019,"(216, 313, 322, 530)"
155,5.867,41.56,38.71,0.016,"(216, 313, 322, 530)"
156,5.901,41.52,38.67,0.016,"(216, 313, 322, 530)"
157,5.934,41.59,38.74,0.020,"(216, 313, 322, 530)"
158,5.967,41.56,38.70,0.019,"(216, 313, 322, 530)"
159,6.001,41.51,38.67,0.018,"(216, 313, 322, 530)"
160,6.033,41.60,38.75,0.016,"(216, 313, 322, 530)"
161,6.067,41.55,38.70,0.015,"(216, 313, 322, 530)"
162,6.100,41.49,38.66,0.019,"(216, 313, 322, 530)"
163,6.134,41.57,38.72,0.027,"(216, 313, 322, 530)"
164,6.168,41.51,38.68,0.016,"(216, 313, 322, 530)"
165,6.201,41.52,38.68,0.013,"(216, 313, 322, 530)"
166,6.234,41.60,38.75,0.017,"(216, 313, 322, 530)"
167,6.267,41.54,38.70,0.017,"(216, 313, 322, 530)"
168,6.301,41.60,38.74,0.014,"(216, 313, 322, 530)"
169,6.335,41.66,38.81,0.024,"(216, 313, 322, 530)"
170,6.368,41.57,38.76,0.017,"(216, 313, 322, 530)"
171,6.401,41.56,38.77,0.027,"(216, 313, 322, 530)"
172,6.435,41.58,38.81,0.025,"(216, 313, 322, 530)"
173,6.467,41.52,38.74,0.020,"(216, 313, 322, 530)"
174,6.501,41.54,38.75,0.032,"(216, 313, 322, 530)"
175,6.534,41.60,38.79,0.022,"(216, 313, 322, 530)"
176,6.567,41.50,38.72,0.024,"(216, 313, 322, 530)"
177,6.601,41.54,38.75,0.027,"(216, 313, 322, 530)"
178,6.634,41.58,38.79,0.024,"(216, 313, 322, 530)"
179,6.668,41.53,38.74,0.019,"(216, 313, 322, 530)"
180,6.701,41.54,38.74,0.021,"(216, 313, 322, 530)"
181,6.734,41.58,38.81,0.019,"(216, 313, 322, 530)"
182,6.768,41.50,38.73,0.025,"(216, 313, 322, 530)"
183,6.802,41.51,38.74,0.025,"(216, 313, 322, 530)"
184,6.835,41.55,38.78,0.020,"(216, 313, 322, 530)"
185,6.868,41.49,38.72,0.026,"(216, 313, 322, 530)"
186,6.902,41.49,38.73,0.022,"(216, 313, 322, 530)"
187,6.935,41.56,38.81,0.029,"(216, 313, 322, 530)"
188,6.968,41.52,38.75,0.025,"(216, 313, 322, 530)"
189,7.002,41.60,38.81,0.017,"(216, 313, 322, 530)"
190,7.035,41.69,38.91,0.024,"(216, 313, 322, 530)"
191,7.068,41.69,38.94,0.032,"(216, 313, 322, 530)"
192,7.102,41.78,39.02,0.023,"(216, 313, 322, 530)"
193,7.135,41.89,39.14,0.021,"(216, 313, 322, 530)"
194,7.168,41.80,39.06,0.023,"(216, 313, 322, 530)"
195,7.202,41.83,39.08,0.023,"(216, 313, 322, 530)"
196,7.235,41.81,39.04,0.036,"(216, 313, 322, 530)"
197,7.269,41.48,38.72,0.020,"(216, 313, 322, 530)"
198,7.302,41.33,38.62,0.017,"(216, 313, 322, 530)"
199,7.336,41.31,38.59,0.024,"(216, 313, 322, 530)"
200,7.369,41.24,38.53,0.014,"(216, 313, 322, 530)"
201,7.403,41.28,38.58,0.019,"(216, 313, 322, 530)"
202,7.436,41.34,38.63,0.019,"(216, 313, 322, 530)"
203,7.469,41.30,38.59,0.021,"(216, 313, 322, 530)"
204,7.503,41.44,38.67,0.019,"(216, 313, 322, 530)"
205,7.536,41.72,38.80,0.033,"(216, 313, 322, 530)"
206,7.569,41.63,38.73,0.029,"(216, 313, 322, 530)"
207,7.602,41.71,38.79,0.024,"(216, 313, 322, 530)"
208,7.636,41.78,38.88,0.023,"(216, 313, 322, 530)"
209,7.669,41.64,38.75,0.020,"(216, 313, 322, 530)"
210,7.703,41.71,38.84,0.020,"(216, 313, 322, 530)"
211,7.736,41.58,38.79,0.022,"(216, 313, 322, 530)"
212,7.770,41.52,38.75,0.026,"(216, 313, 322, 530)"
213,7.802,41.59,38.82,0.027,"(216, 313, 322, 530)"
214,7.836,41.56,38.79,0.022,"(216, 313, 322, 530)"
215,7.869,41.50,38.73,0.022,"(216, 313, 322, 530)"
216,7.903,41.59,38.81,0.030,"(216, 313, 322, 530)"
217,7.936,41.53,38.77,0.021,"(216, 313, 322, 530)"
218,7.970,41.51,38.74,0.020,"(216, 313, 322, 530)"
219,8.003,41.57,38.80,0.022,"(216, 313, 322, 530)"
220,8.037,41.52,38.75,0.019,"(216, 313, 322, 530)"
221,8.069,41.50,38.73,0.026,"(216, 313, 322, 530)"
222,8.103,41.62,38.84,0.019,"(216, 313, 322, 530)"
223,8.136,41.56,38.78,0.022,"(216, 313, 322, 530)"
224,8.170,41.57,38.77,0.020,"(216, 313, 322, 530)"
225,8.203,41.66,38.85,0.027,"(216, 313, 322, 530)"
226,8.236,41.59,38.78,0.020,"(216, 313, 322, 530)"
227,8.269,41.58,38.78,0.023,"(216, 313, 322, 530)"
228,8.303,41.67,38.86,0.019,"(216, 313, 322, 530)"
229,8.337,41.52,38.74,0.027,"(216, 313, 322, 530)"
230,8.370,41.57,38.79,0.026,"(216, 313, 322, 530)"
231,8.404,41.68,38.88,0.030,"(216, 313, 322, 530)"
232,8.437,41.64,38.84,0.027,"(216, 313, 322, 530)"
233,8.470,41.67,38.84,0.025,"(216, 313, 322, 530)"
234,8.504,41.72,38.90,0.023,"(216, 313, 322, 530)"
235,8.538,41.61,38.80,0.026,"(216, 313, 322, 530)"
