frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.583,255.00,255.00,0.184,"(217, 321, 320, 525)"
1,0.617,255.00,255.00,0.184,"(217, 321, 320, 525)"
2,0.650,255.00,255.00,0.184,"(217, 321, 320, 525)"
3,0.684,255.00,255.00,0.184,"(217, 321, 320, 525)"
4,0.717,255.00,255.00,0.184,"(217, 321, 320, 525)"
5,0.750,255.00,255.00,0.184,"(217, 321, 320, 525)"
6,0.783,38.27,38.47,0.026,"(217, 321, 320, 525)"
7,0.817,255.00,255.00,0.356,"(217, 321, 320, 525)"
8,0.850,255.00,255.00,0.381,"(217, 321, 320, 525)"
9,0.883,255.00,255.00,0.412,"(217, 321, 320, 525)"
10,0.917,255.00,255.00,0.203,"(217, 321, 320, 525)"
11,0.951,165.18,165.88,0.008,"(217, 321, 320, 525)"
12,0.983,165.07,165.77,0.011,"(217, 321, 320, 525)"
13,1.017,165.16,165.85,0.007,"(217, 321, 320, 525)"
14,1.050,70.93,71.01,0.012,"(217, 321, 320, 525)"
15,1.084,71.12,71.20,0.011,"(217, 321, 320, 525)"
16,1.117,71.06,71.14,0.015,"(217, 321, 320, 525)"
17,1.150,67.33,67.40,0.012,"(217, 321, 320, 525)"
18,1.184,67.52,67.59,0.003,"(217, 321, 320, 525)"
19,1.216,67.48,67.55,0.017,"(217, 321, 320, 525)"
20,1.250,67.31,67.38,0.021,"(217, 321, 320, 525)"
21,1.283,67.55,67.62,0.023,"(217, 321, 320, 525)"
22,1.317,67.46,67.53,0.010,"(217, 321, 320, 525)"
23,1.351,67.31,67.37,0.015,"(217, 321, 320, 525)"
24,1.384,67.54,67.61,0.015,"(217, 321, 320, 525)"
25,1.418,67.46,67.53,0.010,"(217, 321, 320, 525)"
26,1.451,67.31,67.38,0.006,"(217, 321, 320, 525)"
27,1.483,67.51,67.58,0.008,"(217, 321, 320, 525)"
28,1.517,67.44,67.51,0.009,"(217, 321, 320, 525)"
29,1.551,67.32,67.38,0.011,"(217, 321, 320, 525)"
30,1.584,67.54,67.61,0.007,"(217, 321, 320, 525)"
31,1.618,67.43,67.49,0.013,"(217, 321, 320, 525)"
32,1.651,67.32,67.38,0.009,"(217, 321, 320, 525)"
33,1.685,67.56,67.63,0.015,"(217, 321, 320, 525)"
34,1.717,67.40,67.47,0.013,"(217, 321, 320, 525)"
35,1.751,67.33,67.40,0.016,"(217, 321, 320, 525)"
36,1.784,67.57,67.64,0.014,"(217, 321, 320, 525)"
37,1.817,67.40,67.46,0.006,"(217, 321, 320, 525)"
38,1.851,67.32,67.39,0.034,"(217, 321, 320, 525)"
39,1.884,67.55,67.62,0.012,"(217, 321, 320, 525)"
40,1.918,67.37,67.44,0.009,"(217, 321, 320, 525)"
41,1.951,67.31,67.38,0.008,"(217, 321, 320, 525)"
42,1.985,67.51,67.57,0.010,"(217, 321, 320, 525)"
43,2.018,67.33,67.40,0.008,"(217, 321, 320, 525)"
44,2.052,67.29,67.35,0.017,"(217, 321, 320, 525)"
45,2.085,67.47,67.53,0.008,"(217, 321, 320, 525)"
46,2.118,67.26,67.32,0.013,"(217, 321, 320, 525)"
47,2.151,67.25,67.31,0.013,"(217, 321, 320, 525)"
48,2.185,67.39,67.45,0.008,"(217, 321, 320, 525)"
49,2.218,67.22,67.28,0.012,"(217, 321, 320, 525)"
50,2.252,67.19,67.26,0.008,"(217, 321, 320, 525)"
51,2.285,67.33,67.39,0.027,"(217, 321, 320, 525)"
52,2.319,67.16,67.22,0.008,"(217, 321, 320, 525)"
53,2.352,67.16,67.23,0.006,"(217, 321, 320, 525)"
54,2.384,67.34,67.41,0.016,"(217, 321, 320, 525)"
55,2.419,67.17,67.24,0.016,"(217, 321, 320, 525)"
56,2.452,67.16,67.22,0.018,"(217, 321, 320, 525)"
57,2.485,67.36,67.43,0.022,"(217, 321, 320, 525)"
58,2.518,67.17,67.23,0.014,"(217, 321, 320, 525)"
59,2.552,67.19,67.25,0.008,"(217, 321, 320, 525)"
60,2.585,67.34,67.40,0.009,"(217, 321, 320, 525)"
61,2.619,67.18,67.24,0.012,"(217, 321, 320, 525)"
62,2.652,67.24,67.30,0.012,"(217, 321, 320, 525)"
63,2.685,67.42,67.48,0.012,"(217, 321, 320, 525)"
64,2.719,67.30,67.36,0.008,"(217, 321, 320, 525)"
65,2.752,67.45,67.51,0.013,"(217, 321, 320, 525)"
66,2.786,67.74,67.80,0.011,"(217, 321, 320, 525)"
67,2.819,67.68,67.74,0.009,"(217, 321, 320, 525)"
68,2.852,67.75,67.82,0.019,"(217, 321, 320, 525)"
69,2.887,67.64,67.71,0.022,"(217, 321, 320, 525)"
70,2.920,67.27,67.33,0.010,"(217, 321, 320, 525)"
71,2.952,67.21,67.27,0.011,"(217, 321, 320, 525)"
72,2.986,67.23,67.29,0.008,"(217, 321, 320, 525)"
73,3.020,67.00,67.05,0.010,"(217, 321, 320, 525)"
74,3.052,67.03,67.09,0.012,"(217, 321, 320, 525)"
75,3.086,67.07,67.13,0.010,"(217, 321, 320, 525)"
76,3.119,66.86,66.91,0.010,"(217, 321, 320, 525)"
77,3.153,66.99,67.05,0.013,"(217, 321, 320, 525)"
78,3.186,67.02,67.08,0.011,"(217, 321, 320, 525)"
