frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.738,135.82,135.88,0.066,"(217, 321, 320, 525)"
1,0.767,135.82,135.88,0.066,"(217, 321, 320, 525)"
2,0.801,135.82,135.88,0.066,"(217, 321, 320, 525)"
3,0.830,135.82,135.88,0.066,"(217, 321, 320, 525)"
4,0.861,135.82,135.88,0.066,"(217, 321, 320, 525)"
5,0.909,135.82,135.88,0.066,"(217, 321, 320, 525)"
6,0.940,135.82,135.88,0.066,"(217, 321, 320, 525)"
7,0.972,135.82,135.88,0.066,"(217, 321, 320, 525)"
8,1.006,135.82,135.88,0.066,"(217, 321, 320, 525)"
9,1.038,135.82,135.88,0.066,"(217, 321, 320, 525)"
10,1.069,135.82,135.88,0.066,"(217, 321, 320, 525)"
11,1.102,135.82,135.88,0.066,"(217, 321, 320, 525)"
12,1.134,135.82,135.88,0.066,"(217, 321, 320, 525)"
13,1.167,135.82,135.88,0.066,"(217, 321, 320, 525)"
14,1.200,135.82,135.88,0.066,"(217, 321, 320, 525)"
15,1.230,135.82,135.88,0.066,"(217, 321, 320, 525)"
16,1.263,135.82,135.88,0.066,"(217, 321, 320, 525)"
17,1.312,135.82,135.88,0.066,"(217, 321, 320, 525)"
18,1.344,135.82,135.88,0.066,"(217, 321, 320, 525)"
19,1.376,135.82,135.88,0.066,"(217, 321, 320, 525)"
20,1.407,135.82,135.88,0.066,"(217, 321, 320, 525)"
21,1.439,135.82,135.88,0.066,"(217, 321, 320, 525)"
22,1.470,135.82,135.88,0.066,"(217, 321, 320, 525)"
23,1.503,135.82,135.88,0.066,"(217, 321, 320, 525)"
24,1.535,135.82,135.88,0.066,"(217, 321, 320, 525)"
25,1.565,135.82,135.88,0.066,"(217, 321, 320, 525)"
26,1.599,135.82,135.88,0.066,"(217, 321, 320, 525)"
27,1.631,135.82,135.88,0.066,"(217, 321, 320, 525)"
28,1.664,135.82,135.88,0.066,"(217, 321, 320, 525)"
29,1.712,135.82,135.88,0.066,"(217, 321, 320, 525)"
30,1.744,135.82,135.88,0.066,"(217, 321, 320, 525)"
31,1.776,135.82,135.88,0.066,"(217, 321, 320, 525)"
32,1.807,135.82,135.88,0.066,"(217, 321, 320, 525)"
33,1.839,135.82,135.88,0.066,"(217, 321, 320, 525)"
34,1.870,135.78,135.84,0.081,"(217, 321, 320, 525)"
35,1.903,65.93,65.95,0.083,"(217, 321, 320, 525)"
36,1.935,65.88,65.89,0.082,"(217, 321, 320, 525)"
37,1.966,61.92,61.93,0.084,"(217, 321, 320, 525)"
38,1.997,62.18,62.19,0.083,"(217, 321, 320, 525)"
39,2.031,62.10,62.12,0.089,"(217, 321, 320, 525)"
40,2.063,61.96,61.97,0.084,"(217, 321, 320, 525)"
41,2.111,62.23,62.24,0.084,"(217, 321, 320, 525)"
42,2.143,62.14,62.16,0.080,"(217, 321, 320, 525)"
43,2.173,61.95,61.96,0.084,"(217, 321, 320, 525)"
44,2.207,62.21,62.23,0.085,"(217, 321, 320, 525)"
