frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.618,255.00,255.00,4.415,"(214, 313, 321, 524)"
1,0.670,255.00,255.00,4.415,"(214, 313, 321, 524)"
2,0.720,255.00,255.00,4.415,"(214, 313, 321, 524)"
3,0.771,255.00,255.00,4.415,"(214, 313, 321, 524)"
4,0.822,132.41,131.58,0.065,"(214, 313, 321, 524)"
5,0.874,132.39,131.55,0.066,"(214, 313, 321, 524)"
6,0.926,67.42,66.87,0.090,"(214, 313, 321, 524)"
7,0.979,63.93,63.42,0.095,"(214, 313, 321, 524)"
8,1.031,58.74,58.27,0.093,"(214, 313, 321, 524)"
9,1.083,58.91,58.44,0.089,"(214, 313, 321, 524)"
10,1.134,58.74,58.28,0.127,"(214, 313, 321, 524)"
11,1.187,58.94,58.47,0.088,"(214, 313, 321, 524)"
12,1.240,58.73,58.26,0.092,"(214, 313, 321, 524)"
13,1.291,58.96,58.49,0.088,"(214, 313, 321, 524)"
14,1.345,58.76,58.29,0.089,"(214, 313, 321, 524)"
15,1.398,58.97,58.50,0.089,"(214, 313, 321, 524)"
16,1.450,58.77,58.30,0.091,"(214, 313, 321, 524)"
17,1.499,58.98,58.51,0.158,"(214, 313, 321, 524)"
18,1.550,58.78,58.31,0.094,"(214, 313, 321, 524)"
19,1.602,58.94,58.48,0.088,"(214, 313, 321, 524)"
20,1.653,58.97,58.50,0.093,"(214, 313, 321, 524)"
21,1.705,58.96,58.49,0.092,"(214, 313, 321, 524)"
22,1.755,58.94,58.47,0.127,"(214, 313, 321, 524)"
23,1.808,58.99,58.52,0.091,"(214, 313, 321, 524)"
24,1.858,58.98,58.51,0.196,"(214, 313, 321, 524)"
25,1.910,58.97,58.50,0.088,"(214, 313, 321, 524)"
26,1.962,59.00,58.53,0.087,"(214, 313, 321, 524)"
27,2.012,58.97,58.50,0.093,"(214, 313, 321, 524)"
28,2.060,58.96,58.49,0.086,"(214, 313, 321, 524)"
29,2.107,58.98,58.51,0.094,"(214, 313, 321, 524)"
30,2.156,58.97,58.50,0.092,"(214, 313, 321, 524)"
31,2.205,58.98,58.52,0.197,"(214, 313, 321, 524)"
32,2.255,58.97,58.50,0.094,"(214, 313, 321, 524)"
33,2.305,58.97,58.50,0.093,"(214, 313, 321, 524)"
34,2.355,59.02,58.55,0.092,"(214, 313, 321, 524)"
35,2.406,59.00,58.53,0.218,"(214, 313, 321, 524)"
36,2.457,58.98,58.52,0.092,"(214, 313, 321, 524)"
37,2.507,58.98,58.51,0.094,"(214, 313, 321, 524)"
38,2.557,58.99,58.52,0.094,"(214, 313, 321, 524)"
39,2.607,58.95,58.48,0.093,"(214, 313, 321, 524)"
40,2.657,59.00,58.53,0.093,"(214, 313, 321, 524)"
41,2.706,58.95,58.48,0.165,"(214, 313, 321, 524)"
42,2.756,58.99,58.52,0.092,"(214, 313, 321, 524)"
43,2.804,58.98,58.50,0.091,"(214, 313, 321, 524)"
44,2.854,59.01,58.54,0.098,"(214, 313, 321, 524)"
45,2.903,58.97,58.50,0.089,"(214, 313, 321, 524)"
46,2.953,58.99,58.52,0.107,"(214, 313, 321, 524)"
47,2.998,58.97,58.50,0.089,"(214, 313, 321, 524)"
48,3.046,58.82,58.35,0.091,"(214, 313, 321, 524)"
49,3.094,59.02,58.54,0.111,"(214, 313, 321, 524)"
50,3.141,58.84,58.36,0.087,"(214, 313, 321, 524)"
51,3.189,59.00,58.53,0.085,"(214, 313, 321, 524)"
52,3.240,58.82,58.34,0.088,"(214, 313, 321, 524)"
53,3.290,58.95,58.48,0.131,"(214, 313, 321, 524)"
54,3.343,58.81,58.33,0.113,"(214, 313, 321, 524)"
55,3.395,58.96,58.50,0.091,"(214, 313, 321, 524)"
