frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.738,134.06,132.43,0.000,"(216, 433, 316, 528)"
1,0.777,134.06,132.43,0.000,"(216, 433, 316, 528)"
2,0.818,134.06,132.43,0.000,"(216, 433, 316, 528)"
3,0.854,134.06,132.43,0.000,"(216, 433, 316, 528)"
4,0.890,134.06,132.43,0.000,"(216, 433, 316, 528)"
5,0.925,134.08,132.44,0.000,"(216, 433, 316, 528)"
6,0.959,62.14,61.33,0.000,"(216, 433, 316, 528)"
7,0.995,62.02,61.19,0.000,"(216, 433, 316, 528)"
8,1.031,62.04,61.21,0.000,"(216, 433, 316, 528)"
9,1.068,58.35,57.59,0.001,"(216, 433, 316, 528)"
10,1.104,58.27,57.51,0.002,"(216, 433, 316, 528)"
11,1.139,54.91,54.22,0.000,"(216, 433, 316, 528)"
12,1.174,54.80,54.10,0.000,"(216, 433, 316, 528)"
13,1.210,54.77,54.07,0.000,"(216, 433, 316, 528)"
14,1.245,54.90,54.20,0.001,"(216, 433, 316, 528)"
15,1.282,54.82,54.12,0.000,"(216, 433, 316, 528)"
16,1.316,54.79,54.09,0.000,"(216, 433, 316, 528)"
17,1.351,54.94,54.25,0.001,"(216, 433, 316, 528)"
18,1.385,54.82,54.11,0.000,"(216, 433, 316, 528)"
19,1.421,54.79,54.09,0.000,"(216, 433, 316, 528)"
20,1.457,54.92,54.22,0.000,"(216, 433, 316, 528)"
21,1.492,54.86,54.16,0.001,"(216, 433, 316, 528)"
22,1.527,54.83,54.13,0.000,"(216, 433, 316, 528)"
23,1.562,54.82,54.12,0.000,"(216, 433, 316, 528)"
24,1.599,54.83,54.13,0.000,"(216, 433, 316, 528)"
25,1.636,54.96,54.27,0.000,"(216, 433, 316, 528)"
26,1.671,54.83,54.13,0.001,"(216, 433, 316, 528)"
27,1.709,54.84,54.15,0.000,"(216, 433, 316, 528)"
28,1.745,54.93,54.23,0.002,"(216, 433, 316, 528)"
29,1.790,54.80,54.10,0.000,"(216, 433, 316, 528)"
30,1.844,54.94,54.24,0.001,"(216, 433, 316, 528)"
31,1.892,54.80,54.10,0.000,"(216, 433, 316, 528)"
32,1.929,54.94,54.23,0.000,"(216, 433, 316, 528)"
33,1.965,54.81,54.10,0.000,"(216, 433, 316, 528)"
34,2.002,54.85,54.15,0.000,"(216, 433, 316, 528)"
35,2.038,54.93,54.22,0.004,"(216, 433, 316, 528)"
36,2.073,54.81,54.10,0.000,"(216, 433, 316, 528)"
37,2.109,54.85,54.15,0.000,"(216, 433, 316, 528)"
38,2.145,54.94,54.25,0.001,"(216, 433, 316, 528)"
39,2.180,54.80,54.09,0.001,"(216, 433, 316, 528)"
40,2.213,54.85,54.14,0.010,"(216, 433, 316, 528)"
41,2.249,54.90,54.21,0.000,"(216, 433, 316, 528)"
42,2.284,54.78,54.08,0.000,"(216, 433, 316, 528)"
43,2.320,54.87,54.17,0.002,"(216, 433, 316, 528)"
44,2.357,54.93,54.23,0.002,"(216, 433, 316, 528)"
45,2.397,54.86,54.15,0.000,"(216, 433, 316, 528)"
46,2.435,54.92,54.22,0.000,"(216, 433, 316, 528)"
47,2.471,54.78,54.08,0.000,"(216, 433, 316, 528)"
48,2.510,54.85,54.15,0.003,"(216, 433, 316, 528)"
49,2.547,54.89,54.19,0.002,"(216, 433, 316, 528)"
50,2.584,54.77,54.06,0.006,"(216, 433, 316, 528)"
51,2.620,54.87,54.17,0.001,"(216, 433, 316, 528)"
52,2.656,54.88,54.18,0.000,"(216, 433, 316, 528)"
53,2.691,54.74,54.04,0.007,"(216, 433, 316, 528)"
54,2.727,54.85,54.15,0.003,"(216, 433, 316, 528)"
