frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.617,254.99,254.99,0.581,"(217, 354, 320, 528)"
1,0.675,254.99,254.99,0.581,"(217, 354, 320, 528)"
2,0.729,254.99,254.99,0.581,"(217, 354, 320, 528)"
3,0.778,254.99,254.99,0.581,"(217, 354, 320, 528)"
4,0.826,147.38,147.81,0.027,"(217, 354, 320, 528)"
5,0.874,147.58,148.00,0.020,"(217, 354, 320, 528)"
6,0.923,70.63,70.46,0.031,"(217, 354, 320, 528)"
7,0.970,66.32,66.16,0.038,"(217, 354, 320, 528)"
8,1.019,59.71,59.57,0.041,"(217, 354, 320, 528)"
9,1.067,59.70,59.56,0.042,"(217, 354, 320, 528)"
10,1.116,59.61,59.47,0.039,"(217, 354, 320, 528)"
11,1.164,59.73,59.59,0.037,"(217, 354, 320, 528)"
12,1.212,59.62,59.48,0.037,"(217, 354, 320, 528)"
13,1.262,59.74,59.60,0.046,"(217, 354, 320, 528)"
14,1.311,59.63,59.49,0.037,"(217, 354, 320, 528)"
15,1.360,59.75,59.61,0.041,"(217, 354, 320, 528)"
16,1.408,59.63,59.49,0.041,"(217, 354, 320, 528)"
17,1.457,59.70,59.56,0.044,"(217, 354, 320, 528)"
18,1.504,59.66,59.52,0.035,"(217, 354, 320, 528)"
19,1.552,59.77,59.63,0.035,"(217, 354, 320, 528)"
20,1.600,59.75,59.61,0.038,"(217, 354, 320, 528)"
21,1.649,59.97,59.82,0.038,"(217, 354, 320, 528)"
22,1.697,60.14,60.00,0.045,"(217, 354, 320, 528)"
23,1.745,60.28,60.14,0.047,"(217, 354, 320, 528)"
24,1.793,59.96,59.82,0.042,"(217, 354, 320, 528)"
25,1.840,60.00,59.86,0.046,"(217, 354, 320, 528)"
26,1.887,59.75,59.60,0.043,"(217, 354, 320, 528)"
27,1.934,59.85,59.70,0.039,"(217, 354, 320, 528)"
28,1.982,59.72,59.57,0.041,"(217, 354, 320, 528)"
29,2.030,59.73,59.58,0.048,"(217, 354, 320, 528)"
30,2.078,59.55,59.39,0.034,"(217, 354, 320, 528)"
31,2.127,59.61,59.45,0.042,"(217, 354, 320, 528)"
32,2.175,59.45,59.29,0.038,"(217, 354, 320, 528)"
