color_bbox_mean_r,color_bbox_mean_g,color_poly_mean_b,color_poly_std_b,hsv_bbox_mean_h,hsv_bbox_mean_s,hsv_poly_mean_h,hsv_poly_mean_s,hsv_poly_mean_v,color_bbox_entropy,color_poly_entropy,ir_cluster,level2_class
67.929,41.119,122.442,13.579,144.493,103.275,131.565,20.801,123.23,6.016,5.134,141.88,Dark oil
67.774,41.225,121.603,13.545,144.229,102.47,130.849,19.769,122.595,6.017,5.138,141.9,Dark oil
67.647,41.294,121.003,13.713,142.122,101.728,125.518,19.032,122.207,6.025,5.126,141.9,Dark oil
67.474,41.34,120.695,13.36,143.598,101.35,127.75,18.46,121.831,6.023,5.132,141.87,Dark oil
67.481,41.396,120.153,13.433,141.639,100.575,122.169,17.54,121.375,6.022,5.096,141.87,Dark oil
67.499,41.4,120.171,13.624,142.62,100.158,125.545,17.862,121.419,6.025,5.125,141.88,Dark oil
67.555,41.412,119.768,13.551,144.184,100.163,125.121,17.416,121.201,6.023,5.097,141.87,Dark oil
67.371,41.506,119.425,13.46,141.554,99.121,122.715,16.475,120.856,6.028,5.087,141.87,Dark oil
67.26,41.613,119.05,13.534,142.044,98.079,119.825,16.01,120.565,6.027,5.084,141.9,Dark oil
67.355,41.572,119.067,13.325,143.719,98.472,124.515,14.981,120.377,6.023,5.086,141.86,Dark oil
67.438,41.651,118.682,13.531,142.11,97.855,115.762,15.142,120.428,6.024,5.094,141.86,Dark oil
67.275,41.819,118.714,13.689,139.732,97.107,114.021,15.496,120.519,6.029,5.099,141.92,Dark oil
67.281,41.85,118.284,13.809,142.018,96.284,108.607,14.751,120.406,6.022,5.108,141.87,Dark oil
68.409,42.422,119.68,13.827,144.038,96.722,111.718,14.224,121.587,6.034,5.138,141.88,Dark oil
68.69,42.529,119.191,14.051,142.17,96.134,104.539,13.731,121.563,6.032,5.138,141.93,Dark oil
68.733,42.531,119.292,14.072,142.082,96.111,102.807,13.802,121.756,6.034,5.182,141.88,Dark oil
69.433,43.018,120.086,14.3,141.064,95.453,101.345,13.212,122.756,6.045,5.208,141.9,Dark oil
69.594,43.061,119.949,14.319,140.702,95.684,99.254,13.112,122.768,6.048,5.227,141.93,Dark oil
69.486,43.178,120.423,14.415,142.91,95.088,96.793,12.979,123.213,6.044,5.252,141.87,Dark oil
69.468,43.329,120.878,14.714,140.687,94.527,94.393,13.377,123.715,6.034,5.261,141.88,Dark oil
69.85,43.279,121.629,14.934,139.975,95.223,96.804,13.365,124.59,6.045,5.326,141.92,Dark oil
69.857,43.379,122.017,15.017,143.581,95.011,98.373,12.717,124.919,6.037,5.359,141.9,Dark oil
69.675,43.609,121.649,15.238,138.291,93.357,88.16,12.821,124.806,6.042,5.389,141.89,Dark oil
69.658,43.727,122.023,15.162,138.139,92.959,86.708,12.22,124.843,6.037,5.416,141.94,Dark oil
69.942,43.689,122.202,15.329,140.605,93.662,86.801,12.306,125.204,6.047,5.424,141.92,Dark oil
69.876,43.895,122.289,15.598,139.481,92.677,82.619,12.512,125.466,6.037,5.437,141.89,Dark oil
70.249,43.818,122.572,16.033,138.646,93.435,83.055,12.248,125.886,6.037,5.473,141.95,Dark oil
70.091,43.986,123.066,15.981,139.712,92.642,82.581,12.36,125.996,6.042,5.494,141.91,Dark oil
70.048,44.046,122.706,16.266,136.563,92.292,78.323,12.254,125.946,6.036,5.5,141.88,Dark oil
70.087,44.052,122.384,16.191,137.324,92.032,73.743,12.321,125.844,6.035,5.492,141.95,Dark oil
70.006,44.124,122.312,16.002,137.987,91.89,71.242,11.667,125.621,6.042,5.485,141.92,Dark oil
70.075,44.148,121.763,16.144,136.178,91.883,69.248,12.285,125.362,6.035,5.495,141.87,Dark oil
69.825,44.125,119.344,14.794,135.023,91.095,62.021,11.372,122.96,6.037,5.333,141.96,Dark oil
69.074,43.723,115.456,13.436,134.727,91.288,54.184,11.329,119.413,6.037,5.143,141.87,Dark oil
69.046,43.147,115.243,14.284,132.087,92.831,49.765,12.444,119.524,6.036,5.238,141.85,Dark oil
68.909,42.898,116.545,15.073,133.705,93.081,47.283,12.149,120.873,6.04,5.389,141.94,Dark oil
69.079,42.632,116.393,15.261,133.618,94.796,46.202,12.481,120.918,6.041,5.406,141.89,Dark oil
69.155,42.628,115.526,15.151,132.175,94.438,46.691,13.173,120.603,6.055,5.38,141.87,Dark oil
69.277,42.596,114.349,14.971,131.429,94.8,38.189,13.76,119.811,6.038,5.349,141.94,Dark oil
68.942,42.572,112.124,13.756,129.958,94.292,32.641,14.076,117.89,6.047,5.218,141.86,Dark oil
69.269,42.789,111.363,13.317,132.957,94.022,24.04,13.93,117.311,6.052,5.183,141.82,Dark oil
69.431,42.594,109.387,13.017,129.184,94.837,27.595,15.903,116.2,6.059,5.164,141.92,Dark oil
69.369,42.499,109.532,13.496,130.503,94.815,26.106,15.787,116.217,6.054,5.199,141.87,Dark oil
70.266,43.06,111.85,14.153,129.973,94.707,26.554,16.51,119.026,6.062,5.307,141.84,Dark oil
70.398,43.179,113.963,14.764,129.29,94.41,26.761,15.972,120.981,6.07,5.406,141.94,Dark oil
71.467,43.742,116.206,15.277,130.26,94.948,27.685,16.384,123.491,6.082,5.434,141.87,Dark oil
71.715,44.04,117.933,15.592,128.568,94.523,30.577,15.313,124.673,6.078,5.488,141.85,Dark oil
71.98,44.209,119.018,16.479,129.803,94.203,32.812,16.004,126.087,6.086,5.571,141.93,Dark oil
72.837,45.012,120.416,16.566,128.456,93.24,30.636,16.539,127.899,6.084,5.576,141.88,Dark oil
73.023,45.133,120.718,16.374,131.997,93.405,31.174,16.089,128.068,6.091,5.576,141.84,Dark oil
73.123,44.652,121.121,15.914,128.796,95.003,30.066,17.089,129.11,6.122,5.526,141.95,Dark oil
73.263,44.635,121.193,16.163,129.293,95.291,30.061,17.23,129.246,6.112,5.55,141.89,Dark oil
73.513,44.674,121.17,16.021,131.875,95.767,27.252,17.76,129.653,6.11,5.538,141.84,Dark oil
73.408,44.78,121.175,16.024,131.252,95.231,27.776,17.661,129.607,6.123,5.514,141.97,Dark oil
73.458,44.968,121.033,16.129,123.318,95.286,28.512,18.165,129.724,6.112,5.546,141.88,Dark oil
73.612,44.958,120.842,15.778,124.371,95.651,26.549,18.949,130.022,6.106,5.537,141.86,Dark oil
73.5,45.12,120.575,15.999,123.67,94.593,26.351,19.388,130.004,6.113,5.559,141.95,Dark oil
73.744,45.05,120.776,16.212,126.346,95.17,27.028,19.503,130.185,6.115,5.537,141.89,Dark oil
